Screen Name,Twitter ID,Tweet Count,Follower Count,Favorites Count,Friends Count,Name,Created,Language,Latitude,Longitude,Location,Party,Extension round
Krumartkrumart,1277355908,18,40,0,104,Martin Krummenacher,3/18/13 10:15,de,47.0477982,8.3038797,Lucerne,SP,1
maheer92,325135742,20,29,0,17,Marco Andreas Heer,6/27/11 20:02,de,47.0500376,8.3089295,Lucerne,FDP,1
MaurusZeier,131777731,6984,1259,28,419,Maurus Zeier,4/11/10 8:48,de,47.0500376,8.3089295,Lucerne,FDP,1
MiriamKalunder,436560020,2689,180,28,285,Miriam Kalunder,12/14/11 9:12,de,47.0500376,8.3089295,Lucerne,SP,1
pizzen,56678762,299,326,146,548,Daniel Piazza,7/14/09 12:20,de,47.0500376,8.3089295,Lucerne,CVP,1
RalphHess,255044183,0,4,0,0,Ralph Hess,2/20/11 15:10,de,47.0500376,8.3089295,Lucerne,GLP,1
sp_luzern,165519921,502,109,0,9,SP Kanton Luzern,7/11/10 20:29,de,47.0500376,8.3089295,Lucerne,SP,1
WaldvogelG,392669481,82,165,2,294,Gian Waldvogel,10/17/11 11:56,de,47.0500376,8.3089295,Lucerne,GPS,1
denti_franco,867986785,263,602,9,422,Franco Denti,10/8/12 13:21,it,46.0065117,8.9523121,Lugano,CVP,1
LEGAdeiTicinesi,938786736,315,405,6,91,LEGA dei Ticinesi,11/10/12 10:43,it,46.0065117,8.9523121,Lugano,RR,1
LuganoPs,939893828,442,138,0,33,PSLugano,11/10/12 20:43,it,46.0065117,8.9523121,Lugano,SP,1
mandirueckert,576880741,402,621,28,268,Amanda Rückert,5/11/12 5:48,it,46.0065117,8.9523121,Lugano,RR,1
maristellapolli,499541508,0,76,0,37,maristella polli,2/22/12 6:58,it,46.0065117,8.9523121,Lugano,FDP,1
NanoBignasca,376917180,255,449,3,240,Giuliano Bignasca,9/20/11 18:20,it,46.0083623,8.9920861,Lugano,RR,1
RaoulGhisletta,2415894276,0,11,0,13,Raoul Ghisletta,3/28/14 13:19,it,46.0065117,8.9523121,Lugano,SP,1
RodolfoPulino,22598754,865,421,77,342,Rodolfo Pulino,3/3/09 7:33,it,46.0065117,8.9523121,Lugano,RR,1
stefano_araujo,794059,1346,131,1097,121,Stefano Araujo ,2/25/07 20:04,it,46.0065117,8.9523121,Lugano,RL,1
PBD_Lavaux_Oron,477583811,153,124,0,69,PBD Lavaux-Oron,1/29/12 10:26,fr,46.5063273,6.6850537,Lutry,BDP,1
mayabuehler,2381876671,1,6,0,11,Maya Bühler Gäumann,3/10/14 9:38,de,47.0762911,7.3073461,Lyss,SP,1
CVP_Maennedorf,1289052272,67,41,2,54,CVP Männedorf,3/22/13 16:02,de,47.255493,8.6969751,Männedorf,CVP,1
BenjaminPapaux,343470225,2625,279,273,164,Benjamin Papaux,7/27/11 16:39,fr,46.778819,7.159684,Marly,SVP,1
Matthieu_Loup,521214214,477,231,179,368,Matthieu Loup,3/11/12 10:47,fr,46.778819,7.159684,Marly,SP,1
AHansruedi,354163685,2,2,0,7,Abbühl Hansruedi,8/13/11 7:14,de,47.6266,8.65093,Marthalen,SVP,1
ArianaBuzuku,481939457,0,5,0,42,Ariana Buzuku,2/3/12 10:35,fr,46.1025948,7.0770551,Martigny,SVP,1
PDCMartigny,382835195,53,122,0,11,PDC Martigny,9/30/11 19:34,fr,46.1025948,7.0770551,Martigny,CVP,1
Enea_Martinelli,98725334,684,294,24,289,Enea Martinelli,12/22/09 21:37,de,46.6803017,7.8642201,Matten,BDP,1
martinschwegler,265864436,38,136,0,39,Martin Schwegler,3/14/11 7:56,de,47.0827,8.03974,Menznau,CVP,1
FabienGrognuz,571036558,181,77,1,106,Fabien Grognuz,5/4/12 18:08,fr,46.2335,6.08,Meyrin,FDP,1
MarsuRiX,568897643,709,99,2,125,Eric Cornuz,5/2/12 7:50,fr,46.2335,6.08,Meyrin,GPS,1
PLRMeyrin,1048751077,24,24,0,40,PLR Meyrin Cointrin,12/30/12 20:24,fr,46.2335,6.08,Meyrin,FDP,1
VertsMeyrin,786601087,54,23,0,27,Verts MeyrinCointrin,8/28/12 9:16,fr,46.2335,6.08,Meyrin,GPS,1
